City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Pailitas,CO,8.9565,-73.6255,94.75,34,37,4.36,scattered clouds
219,Vanimo,PG,-2.6741,141.3028,77.63,87,100,5.12,overcast clouds
220,Jieshi,CN,22.8134,115.8257,58.95,84,100,20.24,overcast clouds
221,Vila,PT,42.0304,-8.1588,45.48,50,100,4.68,overcast clouds
222,Moroto,UG,2.5345,34.6666,74.79,32,100,6.17,overcast clouds
223,Malinyi,TZ,-8.9333,36.1333,74.01,85,100,2.64,overcast clouds
224,Cabo San Lucas,MX,22.8909,-109.9124,76.6,64,20,5.99,few clouds
225,Manta,EC,-0.95,-80.7333,78.66,78,98,8.1,light rain
226,Dengzhou,CN,37.8086,120.7508,30.31,56,100,6.62,overcast clouds
227,Praia,CV,14.9215,-23.5087,73.94,68,0,17.27,clear sky
228,Alta Floresta,BR,-9.8756,-56.0861,85.89,65,75,2.24,broken clouds
229,Waingapu,ID,-9.6567,120.2641,78.94,85,97,4.72,overcast clouds
230,Susanville,US,40.4163,-120.653,43.92,50,0,4.0,clear sky
231,Bengkulu,ID,-3.8004,102.2655,76.1,88,100,9.84,overcast clouds
232,Kapuskasing,CA,49.4169,-82.4331,15.89,79,100,5.75,overcast clouds
233,Yumen,CN,40.2833,97.2,12.67,88,11,14.09,few clouds
234,Glendive,US,47.1053,-104.7125,46.69,56,0,20.71,clear sky
235,Dhidhdhoo,MV,6.8833,73.1,80.49,72,35,9.66,scattered clouds
236,Constitucion,CL,-35.3333,-72.4167,71.74,56,13,9.75,few clouds
237,Codajas,BR,-3.8367,-62.0569,80.94,90,100,2.3,overcast clouds
238,Falmouth,GB,50.1544,-5.0711,50.9,85,36,28.86,scattered clouds
239,Weymouth,US,42.2209,-70.9398,30.65,62,75,1.99,snow
240,Dauphin,CA,51.1494,-100.0502,2.66,84,30,2.84,scattered clouds
241,Saint-Philippe,RE,-21.3585,55.7679,78.39,80,99,15.5,overcast clouds
242,Mount Gambier,AU,-37.8333,140.7667,59.36,63,0,5.23,clear sky
243,Biharamulo,TZ,-2.6319,31.3089,62.38,84,100,1.57,overcast clouds
